direction_id,role,feature_id,matched_target_feature_id,control_panel,k,target_norm,fitted_norm,remainder_norm,explained_squared_norm,fit_cosine
sae-control-p1-21779,matched_control,21779,30686,1,16,1.09898042678833,0.1624864637851715,1.0869020223617554,0.02186031698450619,0.14785203337669373
sae-control-p1-21779,matched_control,21779,30686,1,25,1.09898042678833,0.17910978198051453,1.0842868089675903,0.026561691112604202,0.1629781424999237
sae-control-p2-21403,matched_control,21403,30686,2,5,1.0983983278274536,0.12607808411121368,1.091138482093811,0.013175281925817073,0.11478357017040253
sae-control-p2-21403,matched_control,21403,30686,2,10,1.0983983278274536,0.14796385169029236,1.0883866548538208,0.01814650579789545,0.1347087323665619
sae-control-p2-21403,matched_control,21403,30686,2,16,1.0983983278274536,0.16390657424926758,1.0861002206802368,0.022267440824241924,0.1492232382297516
sae-control-p2-21403,matched_control,21403,30686,2,25,1.0983983278274536,0.17714126408100128,1.0840202569961548,0.026008717885846133,0.161272332072258
sae-control-p3-19827,matched_control,19827,30686,3,5,1.0955872535705566,0.5506184697151184,0.9471697807312012,0.25258514501426776,0.5025784373283386
sae-control-p3-19827,matched_control,19827,30686,3,10,1.0955872535705566,0.5662694573402405,0.937896728515625,0.2671482989845394,0.5168638229370117
sae-control-p3-19827,matched_control,19827,30686,3,16,1.0955872535705566,0.5706028938293457,0.9352666735649109,0.27125266936312853,0.5208192467689514
sae-control-p3-19827,matched_control,19827,30686,3,25,1.0955872535705566,0.5727526545524597,0.933951735496521,0.2733003932974316,0.5227813720703125
random-residual-for-30686,isotropic_control,,30686,,5,1.1009430885314941,0.09350582212209702,1.0969650745391846,0.007213501219920704,0.08493247628211975
random-residual-for-30686,isotropic_control,,30686,,10,1.1009430885314941,0.11658157408237457,1.0947531461715698,0.011213188507985472,0.10589246451854706
random-residual-for-30686,isotropic_control,,30686,,16,1.1009430885314941,0.13352511823177338,1.0928159952163696,0.014709382439682561,0.12128248810768127
random-residual-for-30686,isotropic_control,,30686,,25,1.1009430885314941,0.1472512036561966,1.0910512208938599,0.01788907891990099,0.1337500512599945
sae-target-41533,target,41533,41533,,5,1.2904164791107178,0.270280659198761,1.261793613433838,0.04387021200602137,0.20945227146148682
sae-target-41533,target,41533,41533,,10,1.2904164791107178,0.30005761981010437,1.2550458908081055,0.05406910283386168,0.2325277030467987
sae-target-41533,target,41533,41533,,16,1.2904164791107178,0.3185892403125763,1.2504701614379883,0.06095400413547136,0.24688869714736938
sae-target-41533,target,41533,41533,,25,1.2904164791107178,0.33232730627059937,1.2468894720077515,0.06632417298264459,0.257534921169281
sae-control-p1-29649,matched_control,29649,41533,1,5,1.2904605865478516,0.40596863627433777,1.2249399423599243,0.09896823314854408,0.31459206342697144
sae-control-p1-29649,matched_control,29649,41533,1,10,1.2904605865478516,0.4278927147388458,1.2174547910690308,0.10994632722208564,0.33158135414123535
sae-control-p1-29649,matched_control,29649,41533,1,16,1.2904605865478516,0.438736230134964,1.2135891914367676,0.11558945907657558,0.3399842381477356
sae-control-p1-29649,matched_control,29649,41533,1,25,1.2904605865478516,0.4476960599422455,1.2103126049041748,0.120358677059478,0.34692734479904175
sae-control-p2-1059,matched_control,1059,41533,2,5,1.2908021211624146,0.27865779399871826,1.2603650093078613,0.04660398032844393,0.21587954461574554
sae-control-p2-1059,matched_control,1059,41533,2,10,1.2908021211624146,0.3140832185745239,1.2520071268081665,0.059206601697988304,0.24332405626773834
sae-control-p2-1059,matched_control,1059,41533,2,16,1.2908021211624146,0.3296215236186981,1.2480063438415527,0.06520959695858519,0.25536179542541504
sae-control-p2-1059,matched_control,1059,41533,2,25,1.2908021211624146,0.3399967849254608,1.2452198266983032,0.0693792897165475,0.263399600982666
sae-control-p3-62289,matched_control,62289,41533,3,5,1.2908662557601929,0.210447296500206,1.2735962867736816,0.026578191198503576,0.16302795708179474
sae-control-p3-62289,matched_control,62289,41533,3,10,1.2908662557601929,0.24397051334381104,1.2676016092300415,0.03572020384947128,0.18899750709533691
sae-control-p3-62289,matched_control,62289,41533,3,16,1.2908662557601929,0.26062917709350586,1.2642816305160522,0.04076468468931338,0.20190255343914032
sae-control-p3-62289,matched_control,62289,41533,3,25,1.2908662557601929,0.2740586996078491,1.2614386081695557,0.04507394789573238,0.21230603754520416
