transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
random_j_2,70,content_mean,suppression,306,51,-0.05003522909096111,-0.05749053886263734,-0.04291856295328209
random_j_2,70,last_content,amplification,306,51,0.035765577747500416,0.018666602079934414,0.052748737386878734
random_j_2,70,last_content,suppression,306,51,-0.03300046566432476,-0.04869268857987157,-0.01712847637200733
random_j_2,75,assistant_boundary,amplification,306,51,0.03747000012710749,0.01545860527340409,0.05918811569448306
random_j_2,75,assistant_boundary,suppression,306,51,-0.02550061190537188,-0.04617129594459578,-0.004917196206144999
random_j_2,75,content_mean,amplification,306,51,0.07075872980598422,0.06266277773162919,0.07906287082636826
random_j_2,75,content_mean,suppression,306,51,-0.059169713825480454,-0.06651258512646996,-0.05192205767789049
random_j_2,75,last_content,amplification,306,51,0.04997275183239823,0.032562187965907,0.06805671689170611
random_j_2,75,last_content,suppression,306,51,-0.04940505804238367,-0.06494797026233297,-0.03313987807224633
random_j_2,78,assistant_boundary,amplification,306,51,-0.029934771372520083,-0.044810034496963365,-0.01561792918112239
random_j_2,78,assistant_boundary,suppression,306,51,0.04182010229071679,0.028035490287455857,0.05588686005410195
random_j_2,78,content_mean,amplification,306,51,-0.11544326439863557,-0.12391235042904394,-0.10664943762308479
random_j_2,78,content_mean,suppression,306,51,0.11250510005838864,0.10515386172264225,0.11975110299670133
random_j_2,78,last_content,amplification,306,51,-0.05937360780970065,-0.07549241110075562,-0.04196453711307079
random_j_2,78,last_content,suppression,306,51,0.07658804228255986,0.0581791829776027,0.09265039196556349
random_j_3,50,assistant_boundary,amplification,306,51,0.11963602979251851,0.11675234418435852,0.12260941091303336
random_j_3,50,assistant_boundary,suppression,306,51,-0.12057738294880123,-0.12346679621188111,-0.11776120227329433
random_j_3,50,content_mean,amplification,306,51,0.14271560420542406,0.13879839625720122,0.14690098053514838
random_j_3,50,content_mean,suppression,306,51,-0.14122432395542167,-0.14521565632476535,-0.13742451071884954
random_j_3,50,last_content,amplification,306,51,0.11481960784979439,0.11192555466888995,0.11785519905350789
random_j_3,50,last_content,suppression,306,51,-0.11355208752378579,-0.11685131505261834,-0.11056170316524896
random_j_3,55,assistant_boundary,amplification,306,51,0.06280510405419407,0.05135483691814846,0.07429921789687531
random_j_3,55,assistant_boundary,suppression,306,51,-0.05070071414248483,-0.0620250480608947,-0.039502045582562206
random_j_3,55,content_mean,amplification,306,51,0.04166738506628344,0.03653162219152185,0.04689569089775841
random_j_3,55,content_mean,suppression,306,51,-0.025900418307239208,-0.031251752788825,-0.020539126872947733
random_j_3,55,last_content,amplification,306,51,0.05470642717281246,0.04318657823559809,0.06534948368953214
random_j_3,55,last_content,suppression,306,51,-0.044163511622411014,-0.05520779397827259,-0.032964707364383276
random_j_3,60,assistant_boundary,amplification,306,51,-0.009962995634922148,-0.020409363910142676,0.0010536652073105033
random_j_3,60,assistant_boundary,suppression,306,51,-0.0025792756479585807,-0.01383497547571084,0.007875074239788794
random_j_3,60,content_mean,amplification,306,51,0.02462973165229949,0.018630665694717226,0.030530527785975484
random_j_3,60,content_mean,suppression,306,51,-0.0318042932495207,-0.03786805792121229,-0.025648002009085548
random_j_3,60,last_content,amplification,306,51,0.007958257363521756,-0.0034123127979684468,0.020035767039813683
random_j_3,60,last_content,suppression,306,51,-0.014506587840455398,-0.02773914919054102,-0.002252345273421099
random_j_3,65,assistant_boundary,amplification,306,51,-0.03435417963420132,-0.05024964714437469,-0.017937444224215605
random_j_3,65,assistant_boundary,suppression,306,51,0.008834347010075018,-0.008158863989999241,0.02491911929479526
random_j_3,65,content_mean,amplification,306,51,-0.07893195129459032,-0.08622290788564964,-0.07198414642865045
random_j_3,65,content_mean,suppression,306,51,0.061972882804267555,0.055022913941269326,0.06904170316428776
random_j_3,65,last_content,amplification,306,51,-0.10116074856156118,-0.11883653895736383,-0.08322100776525979
random_j_3,65,last_content,suppression,306,51,0.08006258211446717,0.061488515721183,0.09756035931923714
random_j_3,70,assistant_boundary,amplification,306,51,-0.04980934087664125,-0.07470941032738397,-0.0277000868108112
random_j_3,70,assistant_boundary,suppression,306,51,0.04344094622868047,0.0246324838720052,0.06372530064012952
random_j_3,70,content_mean,amplification,306,51,-0.026943597294126934,-0.03677297038576558,-0.017604547492374018
random_j_3,70,content_mean,suppression,306,51,0.03847781643836403,0.029402014918589594,0.048059474162917566
random_j_3,70,last_content,amplification,306,51,-0.005088492656724672,-0.020345785822585227,0.009217574769100107
random_j_3,70,last_content,suppression,306,51,0.010053928483530934,-0.003785058376667496,0.024284485363520073
random_j_3,75,assistant_boundary,amplification,306,51,0.06286099589093293,0.03558982320813502,0.08925869021204086
random_j_3,75,assistant_boundary,suppression,306,51,-0.012715454277806168,-0.03842754573557923,0.013283944714807145
random_j_3,75,content_mean,amplification,306,51,0.02826183596881772,0.02118795231183873,0.03599285665432451
random_j_3,75,content_mean,suppression,306,51,-0.02508286620015461,-0.032897956061631206,-0.01748280626064657
random_j_3,75,last_content,amplification,306,51,0.038338877065898544,0.021709935395145985,0.05563149968178538
random_j_3,75,last_content,suppression,306,51,-0.031555520285193324,-0.04724926549886232,-0.01588596961312827
random_j_3,78,assistant_boundary,amplification,306,51,-0.023935589140427167,-0.04143880548238492,-0.006695950170826753
random_j_3,78,assistant_boundary,suppression,306,51,0.0316391219373555,0.014847086130731183,0.0482537152872324
random_j_3,78,content_mean,amplification,306,51,-0.008313765141198387,-0.01812972951955957,0.0012287963413898902
random_j_3,78,content_mean,suppression,306,51,0.028200069144885577,0.01887157871848234,0.0377069731022108
random_j_3,78,last_content,amplification,306,51,0.021459805474044403,0.004386587611995363,0.038096807169209816
random_j_3,78,last_content,suppression,306,51,-0.00786513273304711,-0.02210634800086374,0.006447865431145813
random_j_4,50,assistant_boundary,amplification,306,51,0.10521259077739434,0.10240261382273068,0.10806707022724951
random_j_4,50,assistant_boundary,suppression,306,51,-0.10594491584820359,-0.10865521525594496,-0.10333589587222568
random_j_4,50,content_mean,amplification,306,51,0.11088864187051062,0.10732794883541132,0.1145228873042095
random_j_4,50,content_mean,suppression,306,51,-0.11115735971362764,-0.11476778208013333,-0.10771468794696167
random_j_4,50,last_content,amplification,306,51,0.08867067270682064,0.0858174347796996,0.09158356097706419
random_j_4,50,last_content,suppression,306,51,-0.08931141976305905,-0.09236031339661804,-0.08642593483787543
random_j_4,55,assistant_boundary,amplification,306,51,0.0028421093133016444,-0.008575049908274367,0.014440871491349906
random_j_4,55,assistant_boundary,suppression,306,51,-0.013656086824055204,-0.025129553116344405,-0.0023210816990981327
random_j_4,55,content_mean,amplification,306,51,0.007926349671180145,0.0020786579662943083,0.013905558410424774
