from_layer,to_layer,from_feature_id,to_feature_id,n_common_items,activation_spearman,decoder_cosine,top20_item_jaccard,selected_descriptive_edge
20,21,12440,3560,1110,0.0789122291765851,-0.02308912741679675,0.02564102564102564,0
20,21,12440,5790,1110,0.21377520429641528,-0.00410409287348787,0.0,0
20,21,12440,5919,1110,0.15735725015174515,0.004796278154913127,0.05263157894736842,0
20,21,12440,14638,1110,0.9999004469806982,0.9874220717928804,1.0,1
20,21,12440,16291,1110,-0.14953683869040074,0.004318426628315474,0.0,0
20,21,13209,523,1110,0.2651434632833385,-0.006688951507273908,0.0,0
20,21,13209,3560,1110,0.24817810707339985,0.0222941541580311,0.0,0
20,21,13209,5790,1110,0.060365172302650955,0.03390095639404658,0.0,0
20,21,13209,5919,1110,0.10989107935535387,0.020539653781883008,0.0,0
20,21,13209,14638,1110,-0.2709648141794652,0.0008259850729632308,0.0,0
20,21,13209,16291,1110,0.5802036959827905,0.030983558654644857,0.05263157894736842,0
21,22,523,2115,1110,0.44322629790953294,0.07438469883583868,0.0,1
21,22,523,3599,1110,0.33698707805790584,-0.012409396717745193,0.0,0
21,22,523,5319,1110,0.3985902638739013,-0.005151868079085394,0.05263157894736842,0
21,22,523,7561,1110,0.7597737131007748,0.13820870669277613,0.17647058823529413,1
21,22,523,8671,1110,0.5353987146767906,0.17235575261662286,0.0,1
21,22,523,14638,1110,0.13723437257072066,0.005245242072198888,0.0,0
21,22,3560,2115,1110,0.20486922682430753,-0.03464913443706545,0.02564102564102564,0
21,22,3560,3599,1110,0.9875499841023396,0.9313621086103375,0.7391304347826086,1
